Date,High,Low,Open,Close,Volume,Adj Close
2019-12-02,10551.509765625,10336.3203125,10498.599609375,10348.4404296875,60822800.0,10348.4404296875
2019-12-03,10380.6796875,10221.509765625,10371.9404296875,10232.9296875,75714300.0,10232.9296875
2019-12-04,10344.26953125,10237.6201171875,10245.4697265625,10334.5595703125,54670800.0,10334.5595703125
2019-12-05,10438.6904296875,10353.9697265625,10362.7802734375,10363.5,43477300.0,10363.5
2019-12-06,10472.0595703125,10376.2099609375,10378.8603515625,10463.8798828125,42986400.0,10463.8798828125
2019-12-09,10488.6396484375,10433.6298828125,10449.83984375,10434.8896484375,38599700.0,10434.8896484375
2019-12-10,10418.599609375,10295.580078125,10416.5703125,10390.5302734375,55278400.0,10390.5302734375
2019-12-11,10416.41015625,10341.1904296875,10374.599609375,10405.3095703125,46306000.0,10405.3095703125
2019-12-12,10492.349609375,10375.5595703125,10403.349609375,10451.3603515625,68554200.0,10451.3603515625
2019-12-13,10507.9501953125,10424.580078125,10465.009765625,10429.26953125,84748400.0,10429.26953125
2019-12-16,10562.8095703125,10458.5703125,10478.4296875,10541.669921875,58957400.0,10541.669921875
2019-12-17,10544.4501953125,10498.9697265625,10515.25,10538.8896484375,74978200.0,10538.8896484375
2019-12-18,10638.2001953125,10539.0,10541.259765625,10556.740234375,62183900.0,10556.740234375
2019-12-19,10577.41015625,10522.400390625,10556.7998046875,10575.150390625,53841500.0,10575.150390625
2019-12-20,10679.3701171875,10610.8203125,10628.830078125,10679.3701171875,106983500.0,10679.3701171875
2019-12-23,10734.08984375,10678.26953125,10679.91015625,10724.33984375,36605900.0,10724.33984375
2019-12-27,10755.6796875,10708.400390625,10738.650390625,10730.150390625,29985300.0,10730.150390625
2019-12-30,10736.349609375,10613.1201171875,10734.4697265625,10616.9404296875,32983300.0,10616.9404296875
2020-01-03,10700.8603515625,10580.919921875,10585.2900390625,10699.8203125,55983600.0,10699.8203125
2020-01-06,10675.6201171875,10548.48046875,10652.7802734375,10665.41015625,51779100.0,10665.41015625
2020-01-07,10747.1904296875,10655.2900390625,10714.23046875,10686.7998046875,65947700.0,10686.7998046875
2020-01-08,10681.400390625,10616.6298828125,10628.08984375,10652.16015625,59629500.0,10652.16015625
2020-01-09,10744.919921875,10645.8203125,10721.8701171875,10650.9697265625,53942900.0,10650.9697265625
2020-01-10,10688.7001953125,10638.9404296875,10678.41015625,10639.490234375,50655200.0,10639.490234375
2020-01-13,10680.4697265625,10592.400390625,10645.2998046875,10622.41015625,48635900.0,10622.41015625
2020-01-14,10655.8203125,10536.2802734375,10616.6201171875,10655.8203125,64275700.0,10655.8203125
2020-01-15,10691.3701171875,10620.349609375,10656.3095703125,10670.740234375,59856300.0,10670.740234375
2020-01-16,10693.51953125,10639.6298828125,10687.2099609375,10693.51953125,48681500.0,10693.51953125
2020-01-17,10849.2900390625,10715.919921875,10723.7001953125,10841.8203125,71403400.0,10841.8203125
2020-01-20,10867.16015625,10835.3095703125,10844.1103515625,10846.2900390625,44762500.0,10846.2900390625
2020-01-21,10884.509765625,10767.5400390625,10825.919921875,10884.509765625,87421800.0,10884.509765625
2020-01-22,10960.75,10893.2802734375,10907.16015625,10895.0703125,67115300.0,10895.0703125
2020-01-23,10905.4296875,10798.6201171875,10889.0595703125,10813.9404296875,62666500.0,10813.9404296875
2020-01-24,10913.2001953125,10845.6904296875,10865.9599609375,10849.75,56103300.0,10849.75
2020-01-27,10780.919921875,10639.75,10762.6201171875,10675.9599609375,70880100.0,10675.9599609375
2020-01-28,10789.169921875,10662.0703125,10729.66015625,10781.98046875,61402100.0,10781.98046875
2020-01-29,10880.4404296875,10772.6298828125,10795.4599609375,10859.8798828125,54346500.0,10859.8798828125
2020-01-30,10812.6396484375,10716.490234375,10805.490234375,10748.919921875,65632500.0,10748.919921875
2020-01-31,10815.6201171875,10616.8095703125,10814.2802734375,10627.8798828125,70815000.0,10627.8798828125
2020-02-03,10694.759765625,10598.1201171875,10650.01953125,10664.9501953125,51976700.0,10664.9501953125
2020-02-04,10800.6396484375,10693.3203125,10707.4404296875,10800.6396484375,59234000.0,10800.6396484375
2020-02-05,11006.7197265625,10781.5703125,10789.7197265625,10994.150390625,84395500.0,10994.150390625
2020-02-06,11061.1796875,10979.8203125,11040.169921875,11012.3603515625,62980000.0,11012.3603515625
2020-02-07,11015.6103515625,10958.4501953125,10995.650390625,11001.5302734375,83740300.0,11001.5302734375
2020-02-10,11039.7802734375,10963.51953125,10968.1396484375,11039.7802734375,51327200.0,11039.7802734375
2020-02-11,11114.3896484375,11071.5703125,11079.7802734375,11101.169921875,57263500.0,11101.169921875
